shape,xsd,pc,value,method
star_142,16.765,0.855,27.494,DD
star_142,16.765,0.955,32.661,DD
star_142,5.505,-0.065,21.827,DDDD
star_142,10.505,-0.065,16.215,DDDD
star_142,15.505,-0.065,12.406,DDDD
star_142,20.505,-0.065,12.785,DDDD
star_142,25.505,-0.065,15.065,DDDD
star_142,30.505,-0.065,18.666,DDDD
star_142,35.505,-0.065,19.92,DDDD
star_142,40.505,-0.065,21.155,DDDD
star_142,45.505,-0.065,22.388,DDDD
star_142,50.505,-0.065,23.653,DDDD
star_142,55.505,-0.065,24.833,DDDD
star_142,60.505,-0.065,25.741,DDDD
star_142,16.765,0.055,11.708,DDDD
star_142,16.765,0.155,12.16,DDDD
star_142,16.765,0.255,12.473,DDDD
star_142,16.765,0.355,14.241,DDDD
star_142,16.765,0.455,14.815,DDDD
star_142,16.765,0.555,16.474,DDDD
star_142,16.765,0.655,18.378,DDDD
star_142,16.765,0.755,20.534,DDDD
star_142,16.765,0.855,23.249,DDDD
star_142,16.765,0.955,26.533,DDDD
x_142,16.765,-0.065,9.503,DDDD
h_lines_142,16.765,-0.065,17.787,DDDD
v_lines_142,16.765,-0.065,15.049,DDDD
wide_lines_142,16.765,-0.065,31.415,DDDD
high_lines_142,16.765,-0.065,12.385,DDDD
slant_up_142,16.765,-0.065,16.709,DDDD
slant_down_142,16.765,-0.065,15.75,DDDD
circle_142,16.765,-0.065,17.597,DDDD
star_142,16.765,-0.065,12.077,DDDD
down_parab_142,16.765,-0.065,14.916,DDDD
bullseye_142,16.765,-0.065,16.334,DDDD
dots_142,16.765,-0.065,25.371,DDDD
datasaurus_142,16.765,-0.065,2.556,DDDD

